GameResult,PlayerHand,DealerHand,Money,Doubled,Split,CardsRemaining
Win,[Clubs Two] [Clubs Ten] [Clubs Four] [Spades Four],[Clubs Eight] [Hearts King],15,False,False,306
Lose,[Hearts Seven] [Clubs Ace],[Hearts Seven] [Spades Nine] [Clubs Three],-15,True,True,298
Push,[Diamonds Seven] [Diamonds Three] [Hearts Nine],[Hearts Seven] [Spades Nine] [Clubs Three],-15,True,True,298
Lose,[Spades Queen] [Hearts Six] [Clubs Nine],[Diamonds King] [Diamonds King],-30,False,False,293
Lose,[Diamonds Two] [Diamonds Queen] [Diamonds King],[Spades Seven] [Clubs Jack],-45,False,False,288
Push,[Diamonds Ace] [Diamonds Two] [Diamonds Five],[Spades Ten] [Spades Eight],-45,False,False,283
Win,[Hearts Two] [Clubs Ace] [Clubs Three] [Hearts Eight] [Diamonds Five],[Diamonds Eight] [Spades Four] [Hearts Six],-30,False,False,275
Blackjack,[Clubs Jack] [Hearts Ace],[Diamonds Five] [Clubs Ace] [Hearts Three],-7.5,False,False,270
Lose,[Hearts Ten] [Diamonds Six],[Clubs Four] [Diamonds Nine] [Spades Eight],-22.5,False,False,265
Win,[Diamonds Nine] [Hearts Ten],[Spades Six] [Spades King] [Clubs Ace],-7.5,False,False,260
Win,[Diamonds Jack] [Hearts Nine],[Spades Four] [Hearts Three] [Diamonds Four] [Hearts Four] [Hearts Two],7.5,False,False,253
Blackjack,[Spades Ace] [Spades Queen],[Clubs Six] [Clubs Seven] [Diamonds Seven],30.0,False,False,248
Lose,[Diamonds Queen] [Diamonds Three] [Clubs Five],[Hearts Queen] [Diamonds Ten],15.0,False,False,243
Win,[Clubs Eight] [Spades Seven],[Clubs Five] [Hearts Eight] [Spades Queen],30.0,False,False,238
Win,[Hearts Three] [Hearts Seven] [Spades Nine],[Diamonds Jack] [Spades Seven],45.0,False,False,233
Push,[Diamonds Jack] [Spades Two] [Diamonds Three] [Diamonds Four],[Clubs Nine] [Diamonds Ten],45.0,False,False,227
Lose,[Diamonds Six] [Hearts Nine] [Clubs Queen],[Clubs Queen] [Diamonds Eight],30.0,False,False,222
Lose,[Spades Eight] [Clubs Three] [Spades Six],[Spades Six] [Diamonds Seven] [Spades Five],0.0,True,False,216
Lose,[Hearts Jack] [Hearts Jack],[Clubs Two] [Spades Three] [Hearts Ace] [Diamonds Five],-15.0,False,False,210
Lose,[Spades Jack] [Clubs Two] [Spades Four] [Diamonds Six],[Hearts Nine] [Hearts Queen],-30.0,False,False,204
Lose,[Hearts Five] [Spades Queen] [Clubs Two],[Hearts Ten] [Diamonds Eight],-45.0,False,False,199
Push,[Diamonds Eight] [Spades Nine],[Diamonds Jack] [Spades Seven],-45.0,False,False,195
Win,[Hearts King] [Clubs Four],[Clubs Four] [Clubs Queen] [Spades Two] [Clubs Six],-30.0,False,False,189
Win,[Diamonds Ace] [Diamonds Nine],[Spades King] [Clubs Seven],-15.0,False,False,185
Blackjack,[Hearts King] [Spades Ace],[Hearts Two] [Diamonds Three] [Diamonds Six] [Clubs Three] [Spades Jack],7.5,False,False,178
Win,[Clubs Jack] [Hearts King],[Spades Ten] [Diamonds Nine],22.5,False,False,174
Win,[Clubs Five] [Diamonds King],[Hearts Two] [Hearts Six] [Clubs Eight] [Clubs Ten],37.5,False,False,168
Win,[Diamonds King] [Spades King],[Clubs Jack] [Diamonds Eight],52.5,False,False,164
Lose,[Spades Four] [Spades Nine] [Hearts Ace] [Hearts Two] [Spades Ace],[Clubs King] [Clubs Jack],37.5,False,False,157
Lose,[Spades Seven] [Diamonds Jack],[Hearts Four] [Clubs Seven] [Clubs Eight],22.5,False,False,152
Push,[Clubs Nine] [Hearts Ace],[Diamonds Nine] [Spades Ace],22.5,False,False,148
Lose,[Diamonds Two] [Clubs King] [Diamonds Seven],[Hearts Ace] [Diamonds Ten],7.5,False,False,143
Lose,[Clubs Seven] [Hearts Nine] [Spades Queen],[Clubs King] [Diamonds Five] [Clubs King],-7.5,False,False,137
Lose,[Diamonds King] [Hearts Eight],[Hearts Six] [Hearts Five] [Diamonds Four] [Clubs Six],-22.5,False,False,131
Lose,[Diamonds Four] [Hearts Three] [Clubs Five] [Hearts Five],[Diamonds Queen] [Clubs Three] [Hearts Ace] [Hearts Seven],-37.5,False,False,123
Win,[Clubs Nine] [Spades Three],[Hearts Five] [Diamonds Queen] [Clubs Eight],-22.5,False,False,118
Win,[Clubs Six] [Spades Three] [Diamonds Two],[Hearts Eight] [Hearts Five] [Spades Nine],-7.5,False,False,112
Lose,[Clubs Five] [Diamonds Eight] [Hearts Ten],[Clubs King] [Diamonds Ten],-22.5,False,False,107
Lose,[Diamonds Six] [Spades Ten] [Hearts Four],[Clubs Seven] [Clubs Nine] [Spades Five],-37.5,False,False,101
Lose,[Hearts Six] [Hearts Queen] [Spades Six],[Diamonds Ace] [Clubs Three] [Spades Jack] [Clubs Jack],-52.5,False,False,94
Win,[Hearts Jack] [Diamonds Six],[Clubs Five] [Spades King] [Spades Jack],-37.5,False,False,89
Win,[Clubs Nine] [Hearts King],[Hearts Six] [Hearts Eight] [Spades Nine],-22.5,False,False,84
Lose,[Diamonds Five] [Hearts Ten],[Hearts Three] [Diamonds Ace] [Hearts Four],-37.5,False,False,79
Win,[Hearts Eight] [Diamonds Ace],[Spades King] [Clubs Four] [Clubs Queen],-22.5,False,True,70
